team,elo,recent_points_avg,recent_goals_for_avg,recent_goals_against_avg,recent_unique_scorers,recent_goal_records,shootout_wins,strength_score
Spain,2466.46,2.2,2.7,0.5,29,98,7,2596.459
France,2294.99,2.5,2.4,0.8,25,82,5,2416.092
England,2292.54,2.2,2.2,0.5,28,79,4,2411.687
Turkey,2261.11,2.5,2.5,1.3,28,67,1,2381.257
Norway,2267.66,2.3,3.1,0.7,15,68,0,2379.06
Argentina,2259.65,2.5,2.3,0.3,15,55,15,2370.898
Germany,2221.78,2.7,2.8,0.8,23,67,6,2349.428
Ecuador,2252.11,1.6,0.9,0.5,9,22,2,2307.814
Morocco,2185.29,2.4,2.2,0.3,16,41,6,2291.143
Netherlands,2157.2,2.1,2.8,0.7,26,95,2,2278.549
Belgium,2135.41,2.4,3.7,0.6,22,74,2,2270.208
Brazil,2173.89,1.9,2.5,1.1,18,37,9,2269.935
Japan,2162.5,2.3,1.9,0.6,22,64,5,2268.701
Colombia,2167.73,2.0,2.4,1.1,17,40,7,2262.335
Switzerland,2153.93,1.9,2.2,0.8,19,59,2,2248.977
Croatia,2125.86,2.2,2.2,1.0,24,69,7,2234.413
Mexico,2149.72,2.1,1.6,0.4,12,24,7,2233.024
Portugal,2117.58,2.1,2.6,1.0,22,97,5,2227.93
Paraguay,2094.67,1.4,1.2,1.0,8,17,6,2145.324
Scotland,2051.6,1.9,2.1,1.0,19,48,2,2142.599
Uruguay,2074.97,1.6,1.0,0.9,15,33,9,2139.82
Algeria,2036.89,2.3,1.9,0.4,15,33,7,2133.644
Canada,2059.29,1.7,1.1,0.4,16,24,3,2131.885
Austria,2009.22,2.5,2.7,0.4,14,62,0,2119.818
Australia,2033.73,1.6,1.3,1.0,21,49,5,2110.682
Senegal,2016.81,2.2,1.9,0.9,15,47,11,2108.465
USA,2032.51,1.6,1.8,1.7,16,34,6,2102.011
South Korea,2006.46,1.9,1.5,1.2,17,54,15,2087.662
Ivory Coast,1954.76,2.2,1.9,0.8,17,42,10,2049.858
Iran,1965.68,1.7,1.7,0.6,14,50,10,2045.684
Czech Republic,1944.76,1.9,2.2,0.9,17,47,3,2035.515
Sweden,1984.33,0.9,1.3,2.0,15,46,4,2027.826
Uzbekistan,1950.07,1.6,1.3,0.7,13,34,2,2016.369
Iraq,1937.55,1.8,1.1,0.8,16,41,11,2011.403
DR Congo,1918.08,2.1,1.1,0.3,14,29,5,1997.533
Panama,1924.43,1.6,1.8,1.6,16,47,5,1995.278
Egypt,1908.99,1.8,1.3,0.6,10,36,15,1979.792
Bosnia and Herzegovina,1850.55,1.5,2.0,1.0,19,36,3,1931.754
Jordan,1865.79,1.7,1.9,1.6,11,42,0,1930.888
Tunisia,1809.59,1.3,1.3,1.4,17,31,7,1870.236
Haiti,1769.17,1.5,1.5,1.0,10,26,1,1828.267
Saudi Arabia,1769.79,1.2,1.2,1.5,13,32,7,1819.995
New Zealand,1773.64,0.4,0.7,1.8,17,42,1,1802.041
South Africa,1724.19,1.7,1.5,1.0,14,27,13,1796.939
Cape Verde,1725.18,1.6,1.6,1.2,15,24,2,1793.482
Ghana,1732.66,1.1,1.1,1.4,12,33,5,1778.311
Curaçao,1688.38,1.5,1.9,1.4,16,29,0,1758.325
Qatar,1641.08,0.7,0.7,1.5,18,53,5,1681.735
